Unnamed: 0.1,Unnamed: 0,INDICATOR,virus_total_mal_count,virus_total_sus_count,VT_SCORE,GN_IP_SRC,count,unique_IP_count,most_recent_hit_date,CERT,CERT_COUNT,CERT_VALID_DAYS,NUM_ACTIVE_CERTS,NUM_EXPIRED_CERTS,CERT_SHARED_DOMAINS,CERT_AUTHORITY,RECORD_DNS_A,RECORD_DNS_MX,RECORD_DNS_NS,RECORD_DNS_AAAA,RECORD_DNS_SOA,RECORD_DNS_TXT,WHOIS_REGISTRAR,WHOIS_CC,WHOIS_CREATION_DATE,WHOIS_DOMAIN_AGE,xstream_scores,iforest_scores,lof_scores,ocsvm_scores
105,105,petscaresworld.com,0,0,0,['IP323'],2,1,1/29/2022,"[{'issuer_ca_id': 64138, 'issuer_name': 'C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Encryption Everywhere DV TLS CA - G1', 'common_name': '*.petscaresworld.com', 'name_value': '*.petscaresworld.com\npetscaresworld.com', 'id': 6047702230, 'entry_timestamp': '2022-01-25T19:10:16.878', 'not_before': '2022-01-25T00:00:00', 'not_after': '2023-01-24T23:59:59', 'serial_number': '0a562ef1ac2b8b46c3f8001ab86b8cf1'}]",1,364,1,0,[],DigiCert Inc,['74.208.236.230'],"['mx01.ionos.com', 'mx00.ionos.com']","['ns1113.ui-dns.biz', 'ns1114.ui-dns.com', 'ns1039.ui-dns.org', 'ns1078.ui-dns.de']",['2607:f1c0:100f:f000::265'],['ns1039.ui-dns.org'],,IONOS SE,US,1/25/2022 18:27,5.0,-8.405363302506265,-0.0203165434490592,1.1717349206895693,-0.15679077210214842
106,106,statistic-data.com,0,0,0,['IP320'],2,1,1/29/2022,"""[{'issuer_ca_id': 183267, 'issuer_name': """"C=US, O=Let's Encrypt, CN=R3"""", 'common_name': 'statistic-data.com', 'name_value': 'statistic-data.com', 'id': 6064503640, 'entry_timestamp': '2022-01-27T14:34:09.925', 'not_before': '2022-01-27T13:34:09', 'not_after': '2022-04-27T13:34:08', 'serial_number': '04601d4793816910b9646227a75eddc7a264'}, {'issuer_ca_id': 183267, 'issuer_name': """"C=US, O=Let's Encrypt, CN=R3"""", 'common_name': 'statistic-data.com', 'name_value': 'statistic-data.com', 'id': 6058132210, 'entry_timestamp': '2022-01-27T14:34:09.664', 'not_before': '2022-01-27T13:34:09', 'not_after': '2022-04-27T13:34:08', 'serial_number': '04601d4793816910b9646227a75eddc7a264'}]""",2,90,2,0,[],Let's Encrypt,['3.93.251.206'],"['eforward4.registrar-servers.com', 'eforward1.registrar-servers.com', 'eforward2.registrar-servers.com', 'eforward3.registrar-servers.com', 'eforward5.registrar-servers.com']","['dns2.registrar-servers.com', 'dns1.registrar-servers.com']",[],['dns1.registrar-servers.com'],"""statistic-data.com. 1800 IN TXT """"v=spf1 include:spf.efwd.registrar-servers.com ~all""""""",NAMECHEAP INC,IS,1/27/2022 12:51,3.0,-8.792895780906518,-0.020494405521107928,1.08375118574119,-0.3079801769902386
107,107,api.shiftrelation.com,0,0,0,"['IP324', 'IP325']",7,2,1/30/2022,"""[{'issuer_ca_id': 183267, 'issuer_name': """"C=US, O=Let's Encrypt, CN=R3"""", 'common_name': 'api.shiftrelation.com', 'name_value': 'api.shiftrelation.com', 'id': 6045971877, 'entry_timestamp': '2022-01-25T12:30:48.423', 'not_before': '2022-01-25T11:30:47', 'not_after': '2022-04-25T11:30:46', 'serial_number': '04deaa43320beff9cfa7d1f2da3a5e388ffb'}, {'issuer_ca_id': 183267, 'issuer_name': """"C=US, O=Let's Encrypt, CN=R3"""", 'common_name': 'api.shiftrelation.com', 'name_value': 'api.shiftrelation.com', 'id': 6045969161, 'entry_timestamp': '2022-01-25T12:30:48.072', 'not_before': '2022-01-25T11:30:47', 'not_after': '2022-04-25T11:30:46', 'serial_number': '04deaa43320beff9cfa7d1f2da3a5e388ffb'}]""",2,90,2,0,[],Let's Encrypt,"['104.21.28.211', '172.67.147.152']",[],[],"['2606:4700:3035::ac43:9398', '2606:4700:3034::6815:1cd3']",[],,Moniker Online Services LLC,US,1/25/2022 12:21,5.0,-9.453201171336538,-0.03864665133716594,0.9959241188003031,-0.3214882299557287
108,108,mountainlakeworkshop.com,0,0,0,['IP326'],2,1,1/29/2022,"""[{'issuer_ca_id': 157938, 'issuer_name': 'C=US, O=""""Cloudflare, Inc."""", CN=Cloudflare Inc ECC CA-3', 'common_name': 'sni.cloudflaressl.com', 'name_value': '*.mountainlakeworkshop.com\nmountainlakeworkshop.com', 'id': 6067303771, 'entry_timestamp': '2022-01-29T07:12:06.189', 'not_before': '2022-01-29T00:00:00', 'not_after': '2023-01-28T23:59:59', 'serial_number': '07688f2bcbca5e6fa56225bcd3fe17b6'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.mountainlakeworkshop.com', 'name_value': 'www.mountainlakeworkshop.com', 'id': 3071132123, 'entry_timestamp': '2020-07-11T03:21:50.618', 'not_before': '2020-07-11T02:21:50', 'not_after': '2020-10-09T02:21:50', 'serial_number': '0405f22ea00243ae4b7e313d4b7d3c310acb'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.mountainlakeworkshop.com', 'name_value': 'www.mountainlakeworkshop.com', 'id': 3071127868, 'entry_timestamp': '2020-07-11T03:21:50.414', 'not_before': '2020-07-11T02:21:50', 'not_after': '2020-10-09T02:21:50', 'serial_number': '0405f22ea00243ae4b7e313d4b7d3c310acb'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'mountainlakeworkshop.com', 'name_value': 'mountainlakeworkshop.com', 'id': 3071131273, 'entry_timestamp': '2020-07-11T03:21:22.04', 'not_before': '2020-07-11T02:21:21', 'not_after': '2020-10-09T02:21:21', 'serial_number': '038b3ee973f45b2471f1dd5e65a217522b49'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'mountainlakeworkshop.com', 'name_value': 'mountainlakeworkshop.com', 'id': 3071131515, 'entry_timestamp': '2020-07-11T03:21:21.723', 'not_before': '2020-07-11T02:21:21', 'not_after': '2020-10-09T02:21:21', 'serial_number': '038b3ee973f45b2471f1dd5e65a217522b49'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.mountainlakeworkshop.com', 'name_value': 'www.mountainlakeworkshop.com', 'id': 2804637051, 'entry_timestamp': '2020-05-12T04:21:32.289', 'not_before': '2020-05-12T03:21:31', 'not_after': '2020-08-10T03:21:31', 'serial_number': '0359794770059c8a2eb784828ef8f6076ca1'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.mountainlakeworkshop.com', 'name_value': 'www.mountainlakeworkshop.com', 'id': 2796984307, 'entry_timestamp': '2020-05-12T04:21:32.066', 'not_before': '2020-05-12T03:21:31', 'not_after': '2020-08-10T03:21:31', 'serial_number': '0359794770059c8a2eb784828ef8f6076ca1'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'mountainlakeworkshop.com', 'name_value': 'mountainlakeworkshop.com', 'id': 2826030761, 'entry_timestamp': '2020-05-12T04:20:58.629', 'not_before': '2020-05-12T03:20:58', 'not_after': '2020-08-10T03:20:58', 'serial_number': '034ddce1713b78d45b5175c9e3d1b0398c37'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'mountainlakeworkshop.com', 'name_value': 'mountainlakeworkshop.com', 'id': 2799425091, 'entry_timestamp': '2020-05-12T04:20:58.474', 'not_before': '2020-05-12T03:20:58', 'not_after': '2020-08-10T03:20:58', 'serial_number': '034ddce1713b78d45b5175c9e3d1b0398c37'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.mountainlakeworkshop.com', 'name_value': 'www.mountainlakeworkshop.com', 'id': 2578225551, 'entry_timestamp': '2020-03-13T05:20:55.072', 'not_before': '2020-03-13T04:20:54', 'not_after': '2020-06-11T04:20:54', 'serial_number': '034ccfa8243687c38355845a9263b092603d'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.mountainlakeworkshop.com', 'name_value': 'www.mountainlakeworkshop.com', 'id': 2573144464, 'entry_timestamp': '2020-03-13T05:20:54.594', 'not_before': '2020-03-13T04:20:54', 'not_after': '2020-06-11T04:20:54', 'serial_number': '034ccfa8243687c38355845a9263b092603d'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'mountainlakeworkshop.com', 'name_value': 'mountainlakeworkshop.com', 'id': 2582471544, 'entry_timestamp': '2020-03-13T05:20:17.263', 'not_before': '2020-03-13T04:20:17', 'not_after': '2020-06-11T04:20:17', 'serial_number': '034148483bf3dd5ae75cdfe463c9b7f9ede2'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'mountainlakeworkshop.com', 'name_value': 'mountainlakeworkshop.com', 'id': 2574684845, 'entry_timestamp': '2020-03-13T05:20:17.082', 'not_before': '2020-03-13T04:20:17', 'not_after': '2020-06-11T04:20:17', 'serial_number': '034148483bf3dd5ae75cdfe463c9b7f9ede2'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.mountainlakeworkshop.com', 'name_value': 'www.mountainlakeworkshop.com', 'id': 2334914852, 'entry_timestamp': '2020-01-13T06:19:54.132', 'not_before': '2020-01-13T05:19:53', 'not_after': '2020-04-12T05:19:53', 'serial_number': '032e38ab48a4b8cee505e79b3753cdd6ae37'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.mountainlakeworkshop.com', 'name_value': 'www.mountainlakeworkshop.com', 'id': 2329136192, 'entry_timestamp': '2020-01-13T06:19:53.891', 'not_before': '2020-01-13T05:19:53', 'not_after': '2020-04-12T05:19:53', 'serial_number': '032e38ab48a4b8cee505e79b3753cdd6ae37'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'mountainlakeworkshop.com', 'name_value': 'mountainlakeworkshop.com', 'id': 2334914450, 'entry_timestamp': '2020-01-13T06:19:25.861', 'not_before': '2020-01-13T05:19:25', 'not_after': '2020-04-12T05:19:25', 'serial_number': '04520b5f902eafd51cec32507d91c1383247'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'mountainlakeworkshop.com', 'name_value': 'mountainlakeworkshop.com', 'id': 2329135530, 'entry_timestamp': '2020-01-13T06:19:25.674', 'not_before': '2020-01-13T05:19:25', 'not_after': '2020-04-12T05:19:25', 'serial_number': '04520b5f902eafd51cec32507d91c1383247'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.mountainlakeworkshop.com', 'name_value': 'www.mountainlakeworkshop.com', 'id': 2110891224, 'entry_timestamp': '2019-11-14T07:19:40.87', 'not_before': '2019-11-14T06:19:40', 'not_after': '2020-02-12T06:19:40', 'serial_number': '04c0dab3cb6e74be1ce8238709e91cf42dc6'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.mountainlakeworkshop.com', 'name_value': 'www.mountainlakeworkshop.com', 'id': 2109567141, 'entry_timestamp': '2019-11-14T07:19:40.663', 'not_before': '2019-11-14T06:19:40', 'not_after': '2020-02-12T06:19:40', 'serial_number': '04c0dab3cb6e74be1ce8238709e91cf42dc6'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'mountainlakeworkshop.com', 'name_value': 'mountainlakeworkshop.com', 'id': 2110890485, 'entry_timestamp': '2019-11-14T07:19:12.163', 'not_before': '2019-11-14T06:19:11', 'not_after': '2020-02-12T06:19:11', 'serial_number': '0420559eb425f9c7692cab1e98eef615fa8a'}]""",75,364,1,74,['sni.cloudflaressl.com'],"Cloudflare, Inc.","['172.67.167.164', '104.21.50.224']",[],"['fiona.ns.cloudflare.com', 'yoxall.ns.cloudflare.com']","['2606:4700:3031::ac43:a7a4', '2606:4700:3032::6815:32e0']",['fiona.ns.cloudflare.com'],,"COSMOTOWN, INC.",US,1/28/2022 22:00,2.0,-8.801748906186898,0.005438614679405762,1.1605739615689987,-0.27390244396487073
109,109,www.centralstationpub.com,0,0,0,['IP327'],2,1,1/29/2022,"""[{'issuer_ca_id': 12922, 'issuer_name': 'C=US, ST=TX, L=Houston, O=""""cPanel, Inc."""", CN=""""cPanel, Inc. Certification Authority""""', 'common_name': 'centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 6063514960, 'entry_timestamp': '2022-01-28T11:59:04.745', 'not_before': '2022-01-28T00:00:00', 'not_after': '2022-04-28T23:59:59', 'serial_number': '008ff635b6a29ab137a445346dc339e273'}, {'issuer_ca_id': 12922, 'issuer_name': 'C=US, ST=TX, L=Houston, O=""""cPanel, Inc."""", CN=""""cPanel, Inc. Certification Authority""""', 'common_name': 'centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 6063514948, 'entry_timestamp': '2022-01-28T11:59:04.302', 'not_before': '2022-01-28T00:00:00', 'not_after': '2022-04-28T23:59:59', 'serial_number': '008ff635b6a29ab137a445346dc339e273'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 3099118056, 'entry_timestamp': '2020-07-17T05:51:42.491', 'not_before': '2020-07-17T04:51:42', 'not_after': '2020-10-15T04:51:42', 'serial_number': '03c511ef98c76db1de527ee211601be0abde'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 3099118373, 'entry_timestamp': '2020-07-17T05:51:42.246', 'not_before': '2020-07-17T04:51:42', 'not_after': '2020-10-15T04:51:42', 'serial_number': '03c511ef98c76db1de527ee211601be0abde'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 2763273579, 'entry_timestamp': '2020-05-01T10:17:00.828', 'not_before': '2020-05-01T09:17:00', 'not_after': '2020-07-30T09:17:00', 'serial_number': '04c99e47492c73be22baee79339da5d23c99'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 2749136622, 'entry_timestamp': '2020-05-01T10:17:00.579', 'not_before': '2020-05-01T09:17:00', 'not_after': '2020-07-30T09:17:00', 'serial_number': '04c99e47492c73be22baee79339da5d23c99'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 2430647898, 'entry_timestamp': '2020-02-06T10:50:18.972', 'not_before': '2020-02-06T09:50:18', 'not_after': '2020-05-06T09:50:18', 'serial_number': '0319aa5a666f71ca33ed9debac1484dd605d'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 2425596827, 'entry_timestamp': '2020-02-06T10:50:18.742', 'not_before': '2020-02-06T09:50:18', 'not_after': '2020-05-06T09:50:18', 'serial_number': '0319aa5a666f71ca33ed9debac1484dd605d'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 2139885246, 'entry_timestamp': '2019-11-22T04:43:14.32', 'not_before': '2019-11-22T03:43:14', 'not_after': '2020-02-20T03:43:14', 'serial_number': '04e429096b9585b3e03b5488811883e41a3b'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 2139883885, 'entry_timestamp': '2019-11-22T04:43:14.135', 'not_before': '2019-11-22T03:43:14', 'not_after': '2020-02-20T03:43:14', 'serial_number': '04e429096b9585b3e03b5488811883e41a3b'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 1819260761, 'entry_timestamp': '2019-08-27T04:43:46.398', 'not_before': '2019-08-27T03:43:45', 'not_after': '2019-11-25T03:43:45', 'serial_number': '0368619077f16b8a026639e15ae9c2ea9588'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 1814316903, 'entry_timestamp': '2019-08-27T04:43:45.211', 'not_before': '2019-08-27T03:43:45', 'not_after': '2019-11-25T03:43:45', 'serial_number': '0368619077f16b8a026639e15ae9c2ea9588'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 1541174539, 'entry_timestamp': '2019-05-30T01:57:28.996', 'not_before': '2019-05-30T00:57:27', 'not_after': '2019-08-28T00:57:27', 'serial_number': '038929b67c83cdcb130540efb482f23ec8ee'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 1523151543, 'entry_timestamp': '2019-05-30T01:57:27.779', 'not_before': '2019-05-30T00:57:27', 'not_after': '2019-08-28T00:57:27', 'serial_number': '038929b67c83cdcb130540efb482f23ec8ee'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 738973932, 'entry_timestamp': '2018-08-06T10:27:58.87', 'not_before': '2018-08-06T09:27:58', 'not_after': '2018-11-04T09:27:58', 'serial_number': '036182fa0c42275e1f7ec8cb2ed58ebc7e1b'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.centralstationpub.com', 'name_value': 'www.centralstationpub.com', 'id': 664487046, 'entry_timestamp': '2018-08-06T10:27:58.217', 'not_before': '2018-08-06T09:27:58', 'not_after': '2018-11-04T09:27:58', 'serial_number': '036182fa0c42275e1f7ec8cb2ed58ebc7e1b'}]""",16,90,2,14,[],"cPanel, Inc. Certification Authority","['172.67.172.24', '104.21.71.237']",[],[],"['2606:4700:3030::ac43:ac18', '2606:4700:3030::6815:47ed']",[],,BullRunDomains.com LLC,GB,1/27/2022 19:24,3.0,-8.67944084781302,-0.03240945566527048,1.174640673996232,9.020367490730763e-06
110,110,www.western-colorado-dragway.com,0,0,0,['IP328'],2,1,1/29/2022,"""[{'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'western-colorado-dragway.com', 'name_value': 'www.western-colorado-dragway.com', 'id': 3028639024, 'entry_timestamp': '2020-07-02T09:28:46.375', 'not_before': '2020-07-02T08:28:45', 'not_after': '2020-09-30T08:28:45', 'serial_number': '0409d06a36bf403c340488ea5d7807abdd66'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'western-colorado-dragway.com', 'name_value': 'www.western-colorado-dragway.com', 'id': 3028641795, 'entry_timestamp': '2020-07-02T09:28:45.897', 'not_before': '2020-07-02T08:28:45', 'not_after': '2020-09-30T08:28:45', 'serial_number': '0409d06a36bf403c340488ea5d7807abdd66'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'western-colorado-dragway.com', 'name_value': 'www.western-colorado-dragway.com', 'id': 2814544169, 'entry_timestamp': '2020-05-01T11:27:31.245', 'not_before': '2020-05-01T10:27:30', 'not_after': '2020-07-30T10:27:30', 'serial_number': '04bb3f6538a3e376f13d21c25dc0fb607c1d'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'western-colorado-dragway.com', 'name_value': 'www.western-colorado-dragway.com', 'id': 2750559863, 'entry_timestamp': '2020-05-01T11:27:31.012', 'not_before': '2020-05-01T10:27:30', 'not_after': '2020-07-30T10:27:30', 'serial_number': '04bb3f6538a3e376f13d21c25dc0fb607c1d'}]""",4,90,0,4,[],Let's Encrypt,['64.190.62.111'],['localhost'],"['ns2.sedoparking.com', 'ns1.sedoparking.com']",[],['ns1.sedoparking.com'],"""www.western-colorado-dragway.com. 3600 IN TXT """"v=spf1 -all""""""",DropCatch.com 368 LLC,FR,1/27/2022 19:27,3.0,-8.043246748089254,-0.02958416184728402,1.145925901692853,-0.00044665878856742225
111,111,pointlesspocket.com,0,0,0,"['IP50', 'IP49', 'IP329']",6,3,1/30/2022,"""[{'issuer_ca_id': 183267, 'issuer_name': """"C=US, O=Let's Encrypt, CN=R3"""", 'common_name': 'pointlesspocket.com', 'name_value': 'pointlesspocket.com', 'id': 6048208852, 'entry_timestamp': '2022-01-25T21:14:55.038', 'not_before': '2022-01-25T20:14:54', 'not_after': '2022-04-25T20:14:53', 'serial_number': '0496a2fe933a1f1d2d8bfa29e12c44f1d7d6'}, {'issuer_ca_id': 183267, 'issuer_name': """"C=US, O=Let's Encrypt, CN=R3"""", 'common_name': 'pointlesspocket.com', 'name_value': 'pointlesspocket.com', 'id': 6048209439, 'entry_timestamp': '2022-01-25T21:14:54.772', 'not_before': '2022-01-25T20:14:54', 'not_after': '2022-04-25T20:14:53', 'serial_number': '0496a2fe933a1f1d2d8bfa29e12c44f1d7d6'}]""",2,90,2,0,[],Let's Encrypt,['34.96.93.15'],[],"['ns-899.awsdns-48.net', 'ns-18.awsdns-02.com', 'ns-1730.awsdns-24.co.uk', 'ns-1368.awsdns-43.org']",[],['ns-18.awsdns-02.com'],,NAMECHEAP INC,US,1/25/2022 21:13,5.0,-8.964933917007588,-0.031084185929872277,1.0933375061152306,-0.34244502263967336
112,112,sandgoalmile.top,1,1,2,"['IP330', 'IP331', 'IP332', 'IP333']",10,4,1/31/2022,"""[{'issuer_ca_id': 183267, 'issuer_name': """"C=US, O=Let's Encrypt, CN=R3"""", 'common_name': 'sandgoalmile.top', 'name_value': 'sandgoalmile.top', 'id': 6067393136, 'entry_timestamp': '2022-01-27T20:37:00.169', 'not_before': '2022-01-27T19:37:00', 'not_after': '2022-04-27T19:36:59', 'serial_number': '03c0744239f55f17a3328c0289ff210550fc'}, {'issuer_ca_id': 183267, 'issuer_name': """"C=US, O=Let's Encrypt, CN=R3"""", 'common_name': 'sandgoalmile.top', 'name_value': 'sandgoalmile.top', 'id': 6059485218, 'entry_timestamp': '2022-01-27T20:37:00.062', 'not_before': '2022-01-27T19:37:00', 'not_after': '2022-04-27T19:36:59', 'serial_number': '03c0744239f55f17a3328c0289ff210550fc'}]""",2,90,2,0,[],Let's Encrypt,['5.189.217.113'],[],"['ns1.dnstechnoprovider.com', 'ns2.dnstechnoprovider.com']",[],['ns1.dnstechnoprovider.com'],,"NameSilo, LLC",AT,1/27/2022 20:24,3.0,-8.569741398334337,0.030867813799120514,1.1956731054857426,0.00027672402061451606
113,113,next-notification.com,1,0,1,"['IP334', 'IP335']",4,2,1/30/2022,"[{'issuer_ca_id': 1479, 'issuer_name': 'C=BE, O=GlobalSign nv-sa, CN=AlphaSSL CA - SHA256 - G2', 'common_name': '*.next-notification.com', 'name_value': '*.next-notification.com\nnext-notification.com', 'id': 6063221968, 'entry_timestamp': '2022-01-28T12:47:09.583', 'not_before': '2022-01-28T12:47:07', 'not_after': '2023-03-01T12:47:07', 'serial_number': '51dc1ab2c2e24c0a8c5e297e'}]",1,397,1,0,[],GlobalSign nv-sa,"['213.227.145.147', '213.227.149.216', '95.168.170.165']","['eforward4.registrar-servers.com', 'eforward1.registrar-servers.com', 'eforward2.registrar-servers.com', 'eforward3.registrar-servers.com', 'eforward5.registrar-servers.com']","['dns1.registrar-servers.com', 'dns2.registrar-servers.com']",[],['dns1.registrar-servers.com'],"""next-notification.com. 1799 IN TXT """"_globalsign-domain-verification=3BvLtrc57Ix6f3Rfp7KbvURD7S3B6BBPb1y_E2TuQV""""",,,,,-8.3629036223828,-0.011028629411592772,1.1118193345982368,-0.10671828098541303
114,114,lqap.anotherbadday.ru,0,0,0,['IP325'],4,1,1/30/2022,[],0,0,0,0,[],,"['172.67.20.167', '104.22.8.131', '104.22.9.131']",[],[],"['2606:4700:10::6816:883', '2606:4700:10::ac43:14a7', '2606:4700:10::6816:983']",[],,RU-CENTER-RU,,1/30/2022 10:32,0.0,-9.787850991574121,-0.028534906352617184,0.9974992911594012,-0.04007039218661301
115,115,qonv.anotherbadday.ru,0,0,0,['IP325'],3,1,1/30/2022,[],0,0,0,0,[],,"['104.22.9.131', '104.22.8.131', '172.67.20.167']",[],[],"['2606:4700:10::6816:883', '2606:4700:10::6816:983', '2606:4700:10::ac43:14a7']",[],,RU-CENTER-RU,,1/30/2022 10:32,0.0,-9.787850991574121,-0.02806872901441193,0.9973282262487728,-0.040069242107191094
116,116,akev.anotherbadday.ru,0,0,0,['IP325'],3,1,1/30/2022,[],0,0,0,0,[],,"['172.67.20.167', '104.22.8.131', '104.22.9.131']",[],[],"['2606:4700:10::ac43:14a7', '2606:4700:10::6816:883', '2606:4700:10::6816:983']",[],,RU-CENTER-RU,,1/30/2022 10:32,0.0,-9.787850991574121,-0.02806872901441193,0.9973282262487728,-0.040069242107191094
117,117,bzpa.anotherbadday.ru,0,0,0,['IP325'],4,1,1/30/2022,[],0,0,0,0,[],,"['104.22.9.131', '104.22.8.131', '172.67.20.167']",[],[],"['2606:4700:10::ac43:14a7', '2606:4700:10::6816:983', '2606:4700:10::6816:883']",[],,RU-CENTER-RU,,1/30/2022 10:32,0.0,-9.787850991574121,-0.028534906352617184,0.9974992911594012,-0.04007039218661301
