Unnamed: 0.1,Unnamed: 0,INDICATOR,virus_total_mal_count,virus_total_sus_count,VT_SCORE,GN_IP_SRC,count,unique_IP_count,most_recent_hit_date,CERT,CERT_COUNT,CERT_VALID_DAYS,NUM_ACTIVE_CERTS,NUM_EXPIRED_CERTS,CERT_SHARED_DOMAINS,CERT_AUTHORITY,RECORD_DNS_A,RECORD_DNS_MX,RECORD_DNS_NS,RECORD_DNS_AAAA,RECORD_DNS_SOA,RECORD_DNS_TXT,WHOIS_REGISTRAR,WHOIS_CC,WHOIS_CREATION_DATE,WHOIS_DOMAIN_AGE,xstream_scores,iforest_scores,lof_scores,ocsvm_scores
0,0,starlinkinvest.com,4,0,4,['IP0'],7,1,1/28/2022,"[{'issuer_ca_id': 158800, 'issuer_name': 'C=AT, O=ZeroSSL, CN=ZeroSSL RSA Domain Secure Site CA', 'common_name': 'starlinkinvest.com', 'name_value': 'starlinkinvest.com\nwww.starlinkinvest.com', 'id': 6042028912, 'entry_timestamp': '2022-01-24T21:51:28.672', 'not_before': '2022-01-24T00:00:00', 'not_after': '2023-01-24T23:59:59', 'serial_number': '00fb8288b5dc9339cfa7fb2c0323b37bfd'}, {'issuer_ca_id': 158800, 'issuer_name': 'C=AT, O=ZeroSSL, CN=ZeroSSL RSA Domain Secure Site CA', 'common_name': 'starlinkinvest.com', 'name_value': 'starlinkinvest.com\nwww.starlinkinvest.com', 'id': 6042028816, 'entry_timestamp': '2022-01-24T21:51:28.069', 'not_before': '2022-01-24T00:00:00', 'not_after': '2023-01-24T23:59:59', 'serial_number': '00fb8288b5dc9339cfa7fb2c0323b37bfd'}, {'issuer_ca_id': 105493, 'issuer_name': 'C=GB, ST=Greater Manchester, L=Salford, O=Sectigo Limited, CN=Sectigo RSA Domain Validation Secure Server CA', 'common_name': 'starlinkinvest.com', 'name_value': 'starlinkinvest.com\nwww.starlinkinvest.com', 'id': 6042024507, 'entry_timestamp': '2022-01-24T21:50:10.63', 'not_before': '2022-01-24T00:00:00', 'not_after': '2023-01-24T23:59:59', 'serial_number': '75aaf30077e4d344277949609afe12fa'}, {'issuer_ca_id': 105493, 'issuer_name': 'C=GB, ST=Greater Manchester, L=Salford, O=Sectigo Limited, CN=Sectigo RSA Domain Validation Secure Server CA', 'common_name': 'starlinkinvest.com', 'name_value': 'starlinkinvest.com\nwww.starlinkinvest.com', 'id': 6042024247, 'entry_timestamp': '2022-01-24T21:50:09.595', 'not_before': '2022-01-24T00:00:00', 'not_after': '2023-01-24T23:59:59', 'serial_number': '75aaf30077e4d344277949609afe12fa'}]",4,365,4,0,[],ZeroSSL,['66.29.146.87'],"['mx3-hosting.jellyfish.systems', 'mx2-hosting.jellyfish.systems', 'mx1-hosting.jellyfish.systems']","['dns2.namecheaphosting.com', 'dns1.namecheaphosting.com']",[],['dns1.namecheaphosting.com'],"""starlinkinvest.com. 14400 IN TXT """"v=spf1 +a +mx +ip4:66.29.146.85 include:spf.web-hosting.com ~all""""""","NameSilo, LLC",US,1/24/2022 21:41,6.0,-8.059223743964978,0.003972997505804099,1.1064835487335167,-0.5859333518482801
1,1,pixel.advertisging.com,2,1,3,"['IP1', 'IP2', 'IP3', 'IP4', 'IP5', 'IP6', 'IP7', 'IP8', 'IP9', 'IP10', 'IP11', 'IP12', 'IP13', 'IP14', 'IP15', 'IP16', 'IP17', 'IP18', 'IP19', 'IP20', 'IP21', 'IP22', 'IP23', 'IP24', 'IP25', 'IP26', 'IP27', 'IP28', 'IP29', 'IP30', 'IP31', 'IP32', 'IP33', 'IP34', 'IP35', 'IP36', 'IP37', 'IP38', 'IP39', 'IP40', 'IP41']",468,41,1/31/2022,[],0,0,0,0,[],,['208.100.26.245'],[],[],[],[],,DYNADOT LLC,US,1/24/2022 14:30,6.0,-9.167603737284738,0.018895727235164195,1.005562392151863,-0.15168439242163334
2,2,google-app-update.com,1,1,2,"['IP42', 'IP43', 'IP44', 'IP45']",10,4,1/31/2022,"""[{'issuer_ca_id': 183267, 'issuer_name': """"C=US, O=Let's Encrypt, CN=R3"""", 'common_name': 'google-app-update.com', 'name_value': 'google-app-update.com\nwww.google-app-update.com', 'id': 6068043345, 'entry_timestamp': '2022-01-27T22:05:32.844', 'not_before': '2022-01-27T21:05:32', 'not_after': '2022-04-27T21:05:31', 'serial_number': '0317546665702ccaf5ebcea7db8167e032ee'}, {'issuer_ca_id': 183267, 'issuer_name': """"C=US, O=Let's Encrypt, CN=R3"""", 'common_name': 'google-app-update.com', 'name_value': 'google-app-update.com\nwww.google-app-update.com', 'id': 6059877204, 'entry_timestamp': '2022-01-27T22:05:32.441', 'not_before': '2022-01-27T21:05:32', 'not_after': '2022-04-27T21:05:31', 'serial_number': '0317546665702ccaf5ebcea7db8167e032ee'}]""",2,90,2,0,[],Let's Encrypt,['45.91.203.198'],[],"['ns3.topdns.me', 'ns1.topdns.me', 'ns2.topdns.me']",[],['ns1.topdns.me'],,DANESCO TRADING LTD,Cyprus,1/27/2022 21:41,3.0,-7.77906826033533,-0.0115612347171265,1.2040399027455884,0.0003825025955097594
3,3,gunpatrscorp.com,0,1,1,"['IP46', 'IP47', 'IP48']",8,3,1/29/2022,"""[{'issuer_ca_id': 183267, 'issuer_name': """"C=US, O=Let's Encrypt, CN=R3"""", 'common_name': 'gunpatrscorp.com', 'name_value': 'gunpatrscorp.com\nwww.gunpatrscorp.com', 'id': 6034679110, 'entry_timestamp': '2022-01-23T16:23:41.36', 'not_before': '2022-01-23T15:23:40', 'not_after': '2022-04-23T15:23:39', 'serial_number': '0350c757a282afef908c904dbf38c696cfd5'}, {'issuer_ca_id': 183267, 'issuer_name': """"C=US, O=Let's Encrypt, CN=R3"""", 'common_name': 'gunpatrscorp.com', 'name_value': 'gunpatrscorp.com\nwww.gunpatrscorp.com', 'id': 6034679534, 'entry_timestamp': '2022-01-23T16:23:40.783', 'not_before': '2022-01-23T15:23:40', 'not_after': '2022-04-23T15:23:39', 'serial_number': '0350c757a282afef908c904dbf38c696cfd5'}]""",2,90,2,0,[],Let's Encrypt,['199.192.27.210'],"['eforward2.registrar-servers.com', 'eforward3.registrar-servers.com', 'eforward5.registrar-servers.com', 'eforward4.registrar-servers.com', 'eforward1.registrar-servers.com']","['dns1.registrar-servers.com', 'dns2.registrar-servers.com']",[],['dns1.registrar-servers.com'],"""gunpatrscorp.com. 1800 IN TXT """"v=spf1 include:spf.efwd.registrar-servers.com ~all""""""","NameCheap, Inc.",,1/23/2022 7:57,8.0,-8.218067768784838,-0.019331623238582007,1.1151747429641228,-0.44962987493005446
4,4,eatingthemoment.com,0,0,0,"['IP49', 'IP50', 'IP51', 'IP52', 'IP53']",12,5,1/28/2022,"""[{'issuer_ca_id': 157938, 'issuer_name': 'C=US, O=""""Cloudflare, Inc."""", CN=Cloudflare Inc ECC CA-3', 'common_name': 'sni.cloudflaressl.com', 'name_value': '*.eatingthemoment.com\neatingthemoment.com', 'id': 6061965739, 'entry_timestamp': '2022-01-28T07:23:47.446', 'not_before': '2022-01-28T00:00:00', 'not_after': '2023-01-27T23:59:59', 'serial_number': '0ae1a93b61302016c7e36e43153b8933'}]""",1,364,1,0,['sni.cloudflaressl.com'],"Cloudflare, Inc.","['104.21.90.203', '172.67.161.23']",[],"['fiona.ns.cloudflare.com', 'yoxall.ns.cloudflare.com']","['2606:4700:3036::6815:5acb', '2606:4700:3037::ac43:a117']",['fiona.ns.cloudflare.com'],,"COSMOTOWN, INC.",US,1/27/2022 22:56,3.0,-8.883716048107697,0.0016706882031584658,1.1551424287331487,-0.23227361554038817
5,5,www.taylordle.com,0,0,0,"['IP54', 'IP55', 'IP56', 'IP57', 'IP58', 'IP59']",13,6,2/3/2022,"[{'issuer_ca_id': 9324, 'issuer_name': 'C=US, O=Amazon, OU=Server CA 1B, CN=Amazon', 'common_name': 'www.taylordle.com', 'name_value': 'www.taylordle.com', 'id': 6061398143, 'entry_timestamp': '2022-01-28T04:51:14.312', 'not_before': '2022-01-28T00:00:00', 'not_after': '2023-02-27T23:59:59', 'serial_number': '08ef0cf821bcb817f224dff385e7a32b'}, {'issuer_ca_id': 9324, 'issuer_name': 'C=US, O=Amazon, OU=Server CA 1B, CN=Amazon', 'common_name': 'www.taylordle.com', 'name_value': 'www.taylordle.com', 'id': 6061385102, 'entry_timestamp': '2022-01-28T04:47:59.29', 'not_before': '2022-01-28T00:00:00', 'not_after': '2023-02-27T23:59:59', 'serial_number': '03200adc81aa936fa2c8ac5d65edf782'}]",2,395,2,0,[],Amazon,"['54.192.73.31', '54.192.73.33', '54.192.73.98', '54.192.73.56']",[],"['ns-385.awsdns-48.com', 'ns-514.awsdns-00.net', 'ns-1282.awsdns-32.org', 'ns-1626.awsdns-11.co.uk']","['2600:9000:200f:4600:1f:f106:5540:93a1', '2600:9000:200f:2600:1f:f106:5540:93a1', '2600:9000:200f:4200:1f:f106:5540:93a1', '2600:9000:200f:9600:1f:f106:5540:93a1', '2600:9000:200f:5600:1f:f106:5540:93a1', '2600:9000:200f:8000:1f:f106:5540:93a1', '2600:9000:200f:f600:1f:f106:5540:93a1', '2600:9000:200f:6200:1f:f106:5540:93a1']",['ns-1626.awsdns-11.co.uk'],,Google LLC,CA,1/28/2022 3:45,3.0,-8.166924359066165,-0.01834288189974692,1.2483095017880685,-0.02051852931122511
6,6,s.acxiomapac.com,0,0,0,"['IP60', 'IP61', 'IP62', 'IP63', 'IP64', 'IP0', 'IP65', 'IP66', 'IP67', 'IP68', 'IP69', 'IP70', 'IP71', 'IP72', 'IP73', 'IP74', 'IP75', 'IP76', 'IP77', 'IP78', 'IP79', 'IP80', 'IP81', 'IP82', 'IP83', 'IP84', 'IP85', 'IP86', 'IP40', 'IP87']",73,30,1/31/2022,[],0,0,0,0,[],,['23.82.95.168'],[],[],[],[],,17 Domain Limited,,1/25/2022 19:12,5.0,-9.643077908697304,-0.010475124961455473,0.9979809044611563,-0.04268989109024979
7,7,www.turretboard.co.uk,0,0,0,"['IP88', 'IP89']",3,2,1/28/2022,[],0,0,0,0,[],,['192.187.111.222'],[],[],[],[],,Media Elite Holding Limited [Tag = REGISTERMATRIXCH],,1/20/2022 0:00,11.0,-9.531745393724371,-0.03659371141528289,0.9974678193448909,-0.04024319458469616
8,8,cangguguide.com,0,0,0,['IP90'],2,1,1/28/2022,"""[{'issuer_ca_id': 157938, 'issuer_name': 'C=US, O=""""Cloudflare, Inc."""", CN=Cloudflare Inc ECC CA-3', 'common_name': 'sni.cloudflaressl.com', 'name_value': '*.cangguguide.com\ncangguguide.com', 'id': 6056441231, 'entry_timestamp': '2022-01-27T06:57:04.348', 'not_before': '2022-01-27T00:00:00', 'not_after': '2023-01-27T23:59:59', 'serial_number': '02f5feb40ab0c78fe1dc8e0d9ec7301e'}, {'issuer_ca_id': 9324, 'issuer_name': 'C=US, O=Amazon, OU=Server CA 1B, CN=Amazon', 'common_name': 'cangguguide.com', 'name_value': '*.cangguguide.com\ncangguguide.com', 'id': 4693206809, 'entry_timestamp': '2021-06-13T02:29:26.016', 'not_before': '2021-06-09T00:00:00', 'not_after': '2022-07-08T23:59:59', 'serial_number': '0252b4aca529a8ba998ac42dbc0381a1'}, {'issuer_ca_id': 9324, 'issuer_name': 'C=US, O=Amazon, OU=Server CA 1B, CN=Amazon', 'common_name': 'cangguguide.com', 'name_value': '*.cangguguide.com\ncangguguide.com', 'id': 4670375738, 'entry_timestamp': '2021-06-09T02:08:17.24', 'not_before': '2021-06-09T00:00:00', 'not_after': '2022-07-08T23:59:59', 'serial_number': '0252b4aca529a8ba998ac42dbc0381a1'}, {'issuer_ca_id': 9324, 'issuer_name': 'C=US, O=Amazon, OU=Server CA 1B, CN=Amazon', 'common_name': 'cangguguide.com', 'name_value': '*.cangguguide.com\ncangguguide.com', 'id': 3063557331, 'entry_timestamp': '2020-07-09T13:54:51.674', 'not_before': '2020-07-07T00:00:00', 'not_after': '2021-08-07T12:00:00', 'serial_number': '035ccc946d3defe62500822253b08b0c'}, {'issuer_ca_id': 9324, 'issuer_name': 'C=US, O=Amazon, OU=Server CA 1B, CN=Amazon', 'common_name': 'cangguguide.com', 'name_value': '*.cangguguide.com\ncangguguide.com', 'id': 3054074298, 'entry_timestamp': '2020-07-07T15:25:34.78', 'not_before': '2020-07-07T00:00:00', 'not_after': '2021-08-07T12:00:00', 'serial_number': '04550e4a9688feab4d967f56a3cadb0f'}, {'issuer_ca_id': 9324, 'issuer_name': 'C=US, O=Amazon, OU=Server CA 1B, CN=Amazon', 'common_name': 'cangguguide.com', 'name_value': '*.cangguguide.com\ncangguguide.com', 'id': 3054074227, 'entry_timestamp': '2020-07-07T15:25:34.479', 'not_before': '2020-07-07T00:00:00', 'not_after': '2021-08-07T12:00:00', 'serial_number': '035ccc946d3defe62500822253b08b0c'}, {'issuer_ca_id': 9324, 'issuer_name': 'C=US, O=Amazon, OU=Server CA 1B, CN=Amazon', 'common_name': 'cangguguide.com', 'name_value': '*.cangguguide.com\ncangguguide.com', 'id': 2941279945, 'entry_timestamp': '2020-06-12T13:51:18.149', 'not_before': '2020-06-10T00:00:00', 'not_after': '2021-07-10T12:00:00', 'serial_number': '02ac69afe199c64f8705de1ae5a3d42e'}, {'issuer_ca_id': 9324, 'issuer_name': 'C=US, O=Amazon, OU=Server CA 1B, CN=Amazon', 'common_name': 'cangguguide.com', 'name_value': '*.cangguguide.com\ncangguguide.com', 'id': 2932839794, 'entry_timestamp': '2020-06-10T20:09:38.701', 'not_before': '2020-06-10T00:00:00', 'not_after': '2021-07-10T12:00:00', 'serial_number': '02ac69afe199c64f8705de1ae5a3d42e'}, {'issuer_ca_id': 9324, 'issuer_name': 'C=US, O=Amazon, OU=Server CA 1B, CN=Amazon', 'common_name': '*.cangguguide.com', 'name_value': '*.cangguguide.com\ncangguguide.com', 'id': 2932839779, 'entry_timestamp': '2020-06-10T20:09:38.696', 'not_before': '2020-06-10T00:00:00', 'not_after': '2021-07-10T12:00:00', 'serial_number': '0c6e2849f2fd4f4ffa467433a4feda95'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.cangguguide.com', 'name_value': 'www.cangguguide.com', 'id': 2850787296, 'entry_timestamp': '2020-05-11T19:26:57.11', 'not_before': '2020-05-11T18:26:56', 'not_after': '2020-08-09T18:26:56', 'serial_number': '0457162b7ffb12483f08969af7394d1f563a'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.cangguguide.com', 'name_value': 'www.cangguguide.com', 'id': 2797728484, 'entry_timestamp': '2020-05-11T19:26:56.807', 'not_before': '2020-05-11T18:26:56', 'not_after': '2020-08-09T18:26:56', 'serial_number': '0457162b7ffb12483f08969af7394d1f563a'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'cangguguide.com', 'name_value': 'cangguguide.com', 'id': 2803639602, 'entry_timestamp': '2020-05-11T19:26:55.378', 'not_before': '2020-05-11T18:26:55', 'not_after': '2020-08-09T18:26:55', 'serial_number': '033c0839a650cef2ea153eade39a5bba33de'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'cangguguide.com', 'name_value': 'cangguguide.com', 'id': 2795193361, 'entry_timestamp': '2020-05-11T19:26:55.168', 'not_before': '2020-05-11T18:26:55', 'not_after': '2020-08-09T18:26:55', 'serial_number': '033c0839a650cef2ea153eade39a5bba33de'}, {'issuer_ca_id': 9324, 'issuer_name': 'C=US, O=Amazon, OU=Server CA 1B, CN=Amazon', 'common_name': '*.cangguguide.com', 'name_value': '*.cangguguide.com', 'id': 2785070250, 'entry_timestamp': '2020-05-09T15:07:49.517', 'not_before': '2020-05-09T00:00:00', 'not_after': '2021-06-09T12:00:00', 'serial_number': '0f5d5ffddbbe07c36ff3c8c26e283c18'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.tedalal-sa.com', 'name_value': 'api.cangguguide.com', 'id': 2781475070, 'entry_timestamp': '2020-05-06T12:17:15.879', 'not_before': '2020-05-06T11:17:15', 'not_after': '2020-08-04T11:17:15', 'serial_number': '046b34a262ec19ae28de0c0acc059835ab3a'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.tedalal-sa.com', 'name_value': 'api.cangguguide.com', 'id': 2775308011, 'entry_timestamp': '2020-05-06T12:17:15.634', 'not_before': '2020-05-06T11:17:15', 'not_after': '2020-08-04T11:17:15', 'serial_number': '046b34a262ec19ae28de0c0acc059835ab3a'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'api.cangguguide.com', 'name_value': 'api.cangguguide.com', 'id': 2782274268, 'entry_timestamp': '2020-05-06T09:49:00.718', 'not_before': '2020-05-06T08:49:00', 'not_after': '2020-08-04T08:49:00', 'serial_number': '0394cb8a157e404c0bb7ae7165322ce5d7c9'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'api.cangguguide.com', 'name_value': 'api.cangguguide.com', 'id': 2774848642, 'entry_timestamp': '2020-05-06T09:49:00.482', 'not_before': '2020-05-06T08:49:00', 'not_after': '2020-08-04T08:49:00', 'serial_number': '0394cb8a157e404c0bb7ae7165322ce5d7c9'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.cangguguide.com', 'name_value': 'www.cangguguide.com', 'id': 2554866391, 'entry_timestamp': '2020-03-04T19:28:04.219', 'not_before': '2020-03-04T18:28:04', 'not_after': '2020-06-02T18:28:04', 'serial_number': '034fc302322aa26a4916259663cddd7e1d1a'}, {'issuer_ca_id': 16418, 'issuer_name': """"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3"""", 'common_name': 'www.cangguguide.com', 'name_value': 'www.cangguguide.com', 'id': 2539023058, 'entry_timestamp': '2020-03-04T19:28:04.056', 'not_before': '2020-03-04T18:28:04', 'not_after': '2020-06-02T18:28:04', 'serial_number': '034fc302322aa26a4916259663cddd7e1d1a'}]""",232,365,3,229,"['sni.cloudflaressl.com', 'www.tedalal-sa.com', 'sni116291.cloudflaressl.com']","Cloudflare, Inc.","['104.21.89.253', '172.67.150.125']",[],"['pola.ns.cloudflare.com', 'jacob.ns.cloudflare.com']","['2606:4700:3033::ac43:967d', '2606:4700:3036::6815:59fd']",['jacob.ns.cloudflare.com'],,"COSMOTOWN, INC.",US,1/24/2022 22:25,6.0,-8.10769920947483,-0.0020239831271006703,1.2086947523927447,-0.3809751717818468
9,9,sun-shine-naturals.com,0,0,0,['IP91'],5,1,1/28/2022,"""[{'issuer_ca_id': 183267, 'issuer_name': """"C=US, O=Let's Encrypt, CN=R3"""", 'common_name': 'sun-shine-naturals.com', 'name_value': 'sun-shine-naturals.com\nwww.sun-shine-naturals.com', 'id': 6048376268, 'entry_timestamp': '2022-01-25T21:57:40.989', 'not_before': '2022-01-25T20:57:40', 'not_after': '2022-04-25T20:57:39', 'serial_number': '0370e23baa113d7c97028f6cdb89f87a3a99'}, {'issuer_ca_id': 183267, 'issuer_name': """"C=US, O=Let's Encrypt, CN=R3"""", 'common_name': 'sun-shine-naturals.com', 'name_value': 'sun-shine-naturals.com\nwww.sun-shine-naturals.com', 'id': 6048377047, 'entry_timestamp': '2022-01-25T21:57:40.827', 'not_before': '2022-01-25T20:57:40', 'not_after': '2022-04-25T20:57:39', 'serial_number': '0370e23baa113d7c97028f6cdb89f87a3a99'}]""",2,90,2,0,[],Let's Encrypt,['143.244.144.160'],"['eforward5.registrar-servers.com', 'eforward4.registrar-servers.com', 'eforward1.registrar-servers.com', 'eforward2.registrar-servers.com', 'eforward3.registrar-servers.com']","['dns1.registrar-servers.com', 'dns2.registrar-servers.com']",[],['dns1.registrar-servers.com'],"""sun-shine-naturals.com. 1799 IN TXT """"v=spf1 include:spf.efwd.registrar-servers.com ~all""""",,,,,-8.948333377030252,-0.03049942933434424,1.115104000424091,-0.46011802868566853
